date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:36	65263/65263	---M-Z	200	added ('OK')	text/html	etag:%22feef-5be87022e3b80-gzip%22	https://golfclub.dexignlab.com/xhtml/index.html	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/index.html	(from )
15:39:36	318/318	---M--	403	error ('Forbidden')	text/html	date:Sat,%2023%20Sep%202023%2009:39:36%20GMT	https://golfclub.dexignlab.com/robots.txt		(from )
15:39:36	4198/4198	---M--	200	added ('OK')	image/x-icon	etag:%221066-59053ec423300%22	https://golfclub.dexignlab.com/xhtml/images/favicon.ico	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/images/favicon.ico	(from https://golfclub.dexignlab.com/xhtml/index.html)
15:39:36	759/759	---M--	200	added ('OK')	image/png	etag:%222f7-5909e89484280%22	https://golfclub.dexignlab.com/xhtml/images/favicon.png	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/images/favicon.png	(from https://golfclub.dexignlab.com/xhtml/index.html)
15:39:37	16660/16660	---M--	200	added ('OK')	text/css	etag:%224114-5702c5d8dcf80%22	https://golfclub.dexignlab.com/xhtml/plugins/themify/themify-icons.css	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/plugins/themify/themify-icons.css	(from https://golfclub.dexignlab.com/xhtml/index.html)
15:39:37	122548/122548	---M--	200	added ('OK')	text/css	etag:%221deb4-54441d99c1080%22	https://golfclub.dexignlab.com/xhtml/css/bootstrap.min.css	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/css/bootstrap.min.css	(from https://golfclub.dexignlab.com/xhtml/index.html)
15:39:37	31004/31004	---M--	200	added ('OK')	text/css	etag:%22791c-54441da71b000%22	https://golfclub.dexignlab.com/xhtml/css/fontawesome/css/font-awesome.min.css	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/css/fontawesome/css/font-awesome.min.css	(from https://golfclub.dexignlab.com/xhtml/index.html)
15:39:37	3506/3506	---M--	200	added ('OK')	text/css	etag:%22db2-54441d97d8c00%22	https://golfclub.dexignlab.com/xhtml/css/owl.carousel.css	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/css/owl.carousel.css	(from https://golfclub.dexignlab.com/xhtml/index.html)
15:39:38	5547/5547	---M--	200	added ('OK')	text/css	etag:%2215ab-54441d99c1080%22	https://golfclub.dexignlab.com/xhtml/css/bootstrap-select.min.css	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/css/bootstrap-select.min.css	(from https://golfclub.dexignlab.com/xhtml/index.html)
15:39:38	5895/5895	---M--	200	added ('OK')	text/css	etag:%221707-54441d97d8c00%22	https://golfclub.dexignlab.com/xhtml/css/magnific-popup.css	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/css/magnific-popup.css	(from https://golfclub.dexignlab.com/xhtml/index.html)
15:39:38	182780/182780	---M--	200	added ('OK')	text/css	etag:%222c9fc-56812cae10d80%22	https://golfclub.dexignlab.com/xhtml/css/style.css	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/css/style.css	(from https://golfclub.dexignlab.com/xhtml/index.html)
15:39:38	3913/3913	---M--	200	added ('OK')	text/css	etag:%22f49-561f42426f280%22	https://golfclub.dexignlab.com/xhtml/css/skin/skin-2.css	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/css/skin/skin-2.css	(from https://golfclub.dexignlab.com/xhtml/index.html)
15:39:39	19394/19394	---M--	200	added ('OK')	text/css	etag:%224bc2-5be86c44f9c00%22	https://golfclub.dexignlab.com/xhtml/css/templete.css	C:/My%20Web%20Sites/golf3/golfclub.dexignlab.com/xhtml/css/templete.css	(from https://golfclub.dexignlab.com/xhtml/index.html)
